Entity,Year,Unsafe_water_source,Unsafe_sanitation,No_access_to_handwashing_facility,Household_air_pollution_from_solid_fuels,Discontinued_breastfeeding,Child_wasting,Child_stunting,Low_birth_weight_for_gestation,Secondhand_smoke,Alcohol_use,Drug_use,Diet_low_in_fruits,Diet_low_in_vegetables,Unsafe_sex,Low_physical_activity,High_fasting_plasma_glucose,High_body-mass_index,High_systolic_blood_pressure,Smoking,Iron_deficiency,Vitamin_A_deficiency,Low_bone_mineral_density,Air_pollution,Outdoor_air_pollution,Diet_high_in_sodium,Diet_low_in_whole_grains,Diet_low_in_nuts_and_seeds
Albania,1990,50.12576656,30.95005744,42.27687871,1337.654648,1.895415191,1022.820898,339.26693,636.1026287,707.8604007,454.2170912,53.41812691,996.6545142,476.8859668,42.70943242,304.7782434,1178.611796,1189.815914,3897.33467,2460.273254,6.050930992,278.467052,26.99420343,1938.678869,626.95,1816.422489,1232.756618,673.5080941
Albania,1991,51.04275046,31.82805143,44.27507351,1392.734624,1.948038141,1006.071416,302.1358538,621.6676297,741.1124253,496.98117,58.20636347,1052.881129,488.9115225,43.72296911,318.8112064,1244.389555,1263.749724,4091.946484,2592.060349,5.43804154,181.8788799,29.5776083,2021.316572,654.88,1870.857333,1302.835657,708.9177664
Albania,1992,48.82450206,30.76489637,43.19028148,1361.996449,1.82597596,980.3009743,294.7328441,609.2910193,723.8813611,516.220719,59.73207967,1040.591868,471.0619744,42.79547479,313.2283723,1235.691654,1264.843768,4032.251083,2549.67171,4.589590484,175.7698204,28.14796908,1971.115037,634.39,1806.213616,1287.072351,698.3050512
Albania,1993,43.78624581,27.7309745,40.68314075,1304.792371,1.593157944,933.0093359,279.8850087,592.6278753,696.0747971,530.69561,62.66377228,1010.353052,443.5563239,41.22878248,305.2263173,1224.067098,1246.832154,3932.20021,2480.304973,3.898662533,164.9687341,27.40357694,1890.142195,609.17,1660.755772,1253.622846,678.4703017
Albania,1994,53.14651315,33.65350157,38.38592939,1215.52247,1.840297216,866.9100029,258.0085616,572.5703087,657.1539532,537.4816024,67.13927819,972.8798877,410.1779376,40.93977718,296.2116679,1205.693688,1222.491271,3814.499915,2377.562989,3.237905191,155.3189621,27.01677303,1774.624691,581.23,1513.741074,1214.643072,654.3885038
Albania,1995,26.10835197,16.42829199,31.49598054,1182.102319,0.868247998,741.4951084,219.858907,546.7799663,640.0474349,581.0166718,70.99012915,1004.595869,404.6371674,42.851955,308.7877188,1275.343774,1286.715533,3980.510536,2442.308068,2.807950916,126.1503252,27.70207223,1740.547586,580.21,1499.888318,1271.456002,679.184748
Albania,1996,20.99524329,13.06012973,27.24351758,1174.91985,0.674460297,635.8547031,185.9671232,517.6400565,638.1568744,645.9167383,74.70707704,1066.592314,406.537577,45.76794016,333.4964873,1405.642295,1404.031489,4304.398195,2595.63016,2.509972063,107.9039451,28.99055857,1754.374294,601.7,1540.190855,1377.057266,727.6813844
Albania,1997,17.33699472,10.65721622,23.41229398,1136.569996,0.534998823,535.3485974,153.416642,481.0779711,623.3139454,717.7653532,78.38935879,1101.127537,402.6896527,47.92852986,346.7170032,1514.181191,1497.26766,4504.875045,2704.63705,2.227867602,90.7252943,29.93607843,1727.981255,613.38,1524.307202,1444.269824,756.2521699
Albania,1998,14.38258511,8.654031112,19.89842014,1085.87854,0.422682047,440.1175646,123.1276087,441.9153815,603.7558426,797.7076096,87.24823723,1113.833212,390.5746509,49.22397062,354.9358762,1607.178209,1575.198234,4640.325335,2784.122253,2.175972643,73.33635569,30.96299019,1684.404653,619.67,1482.12025,1491.271493,776.9848114
Albania,1999,13.00488193,7.549785754,17.37701958,1041.806268,0.373947914,378.3711288,102.8093329,486.9375141,594.2638393,846.7950817,89.37915044,1123.635884,371.2455859,50.99718733,365.9199847,1696.513198,1642.042881,4765.77162,2824.513203,1.901685583,62.03024727,31.26506077,1651.240183,629.68,1424.671827,1526.866006,794.5220284
Albania,2000,11.04585179,6.239348777,14.52824983,994.4790733,0.318404136,316.7716746,84.8716257,352.5716906,571.6098384,864.9126283,90.45705982,1105.976129,349.8618857,50.7741744,378.2453712,1765.825448,1687.189409,4874.199069,2845.78146,1.734198778,51.5988777,31.27504448,1601.176755,626.14,1379.661243,1557.432092,814.5010302
Albania,2001,9.12274643,4.893006129,11.70822241,938.4636297,0.24569916,224.6609055,59.35310549,312.1388784,545.5156327,899.8726851,95.91754695,1080.0907,326.8318692,51.03614495,389.6788474,1824.030226,1725.57029,4978.590098,2870.050531,1.521044021,35.77067678,32.53264679,1546.512344,626.39,1335.490315,1584.162988,831.4697783
Albania,2002,7.837641023,3.982495966,10.10835212,921.31518,0.199389391,176.7143501,45.65480452,280.0504789,541.2473971,959.5573236,99.8563425,1084.03692,316.7623104,52.69696459,413.4628942,1936.312626,1809.276208,5236.569207,2971.644895,1.446474484,28.03793313,33.54061454,1553.416625,649.88,1337.471245,1661.439104,875.6199137
